id,name,category,serving_size,calories,protein,carbs,fat,fiber,sugar,sodium,type,goals,allergens,description
1,Poha,Indian Breakfast,1 plate (200 g),181,4.5,38.9,10.7,3.1,6.0,168,Vegetarian,General Fitness,None,"Poha – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
2,Upma,Indian Breakfast,1 plate (200 g),222,10.9,47.6,5.7,2.2,3.7,415,Vegetarian,General Fitness,None,"Upma – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
3,Idli,Indian Breakfast,1 plate (200 g),231,8.2,18.7,10.0,3.0,6.0,226,Vegetarian,General Fitness,None,"Idli – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
4,Dosa,Indian Breakfast,1 plate (200 g),230,4.8,45.3,9.0,3.0,3.8,266,Vegetarian,General Fitness,None,"Dosa – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
5,Medu Vada,Indian Breakfast,1 plate (200 g),234,5.3,36.9,6.4,3.1,5.8,281,Vegetarian,General Fitness,None,"Medu Vada – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
6,Paratha (Aloo),Indian Breakfast,1 plate (200 g),257,8.7,32.7,6.1,1.6,1.1,300,Vegetarian,General Fitness,Gluten,"Paratha (Aloo) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
7,Paratha (Plain),Indian Breakfast,1 plate (200 g),257,5.2,24.1,9.7,2.5,3.0,246,Vegetarian,General Fitness,Gluten,"Paratha (Plain) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
8,Besan Chilla,Indian Breakfast,1 plate (200 g),232,9.9,28.1,7.4,2.2,3.4,281,Vegetarian,General Fitness,None,"Besan Chilla – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
9,Sevai,Indian Breakfast,1 plate (200 g),183,6.3,34.2,4.2,3.7,4.5,270,Vegetarian,General Fitness,None,"Sevai – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
10,Sabudana Khichdi,Indian Breakfast,1 plate (200 g),270,9.2,32.2,8.1,2.2,3.6,414,Vegetarian,General Fitness,None,"Sabudana Khichdi – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
11,Moong Dal Cheela,Indian Breakfast,1 plate (200 g),217,6.7,33.1,4.2,3.7,1.2,195,Vegetarian,General Fitness,None,"Moong Dal Cheela – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
12,Rava Idli,Indian Breakfast,1 plate (200 g),262,4.6,30.7,5.3,2.2,4.7,348,Vegetarian,General Fitness,None,"Rava Idli – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
13,Set Dosa,Indian Breakfast,1 plate (200 g),151,3.2,31.8,6.2,2.0,4.4,145,Vegetarian,Weight Loss,None,"Set Dosa – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
14,Appam,Indian Breakfast,1 plate (200 g),165,5.2,54.2,10.9,2.1,1.1,339,Vegetarian,General Fitness,None,"Appam – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
15,Puttu,Indian Breakfast,1 plate (200 g),166,9.0,32.1,2.5,4.1,2.1,254,Vegetarian,Weight Loss,None,"Puttu – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
16,Thepla,Indian Breakfast,1 plate (200 g),310,9.9,53.9,11.0,2.7,2.3,286,Vegetarian,General Fitness,None,"Thepla – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
17,Dhokla,Indian Breakfast,1 plate (200 g),220,8.7,32.4,7.7,2.2,4.5,306,Vegetarian,General Fitness,None,"Dhokla – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
18,Khaman,Indian Breakfast,1 plate (200 g),165,4.6,38.8,6.6,2.0,5.0,194,Vegetarian,Weight Loss,None,"Khaman – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
19,Misal Pav,Indian Breakfast,1 plate (200 g),217,5.3,31.6,10.6,1.7,3.9,130,Vegetarian,General Fitness,None,"Misal Pav – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
20,Sheera,Indian Breakfast,1 plate (200 g),285,5.8,31.3,4.7,3.0,4.5,408,Vegetarian,General Fitness,None,"Sheera – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
21,Vermicelli Upma,Indian Breakfast,1 plate (200 g),259,5.6,26.7,9.0,2.6,5.9,282,Vegetarian,General Fitness,None,"Vermicelli Upma – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
22,Bread Omelette,Indian Breakfast,1 plate (200 g),183,7.1,41.5,12.7,1.3,1.0,366,Vegetarian,General Fitness,Egg; Gluten,"Bread Omelette – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
23,Stuffed Paratha (Gobi),Indian Breakfast,1 plate (200 g),245,6.9,41.6,11.0,3.6,1.5,160,Vegetarian,General Fitness,Gluten,"Stuffed Paratha (Gobi) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
24,Masala Dosa,Indian Breakfast,1 plate (200 g),288,6.5,55.1,8.3,1.6,3.6,322,Vegetarian,General Fitness,None,"Masala Dosa – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
25,Rava Dosa,Indian Breakfast,1 plate (200 g),120,6.6,37.8,6.6,1.8,1.9,277,Vegetarian,Weight Loss,None,"Rava Dosa – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
26,Akki Roti,Indian Breakfast,1 plate (200 g),182,8.3,45.1,10.7,2.5,2.6,237,Vegetarian,General Fitness,Gluten,"Akki Roti – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
27,Pesarattu,Indian Breakfast,1 plate (200 g),224,8.6,36.9,6.3,4.2,5.7,117,Vegetarian,General Fitness,None,"Pesarattu – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
28,Egg Bhurji on Toast,Indian Breakfast,1 plate (200 g),217,4.2,36.9,5.6,2.3,2.3,230,Non-Vegetarian,General Fitness,Egg,"Egg Bhurji on Toast – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
29,Aloo Puri,Indian Breakfast,1 plate (200 g),237,3.8,41.3,6.3,2.2,1.4,120,Vegetarian,General Fitness,None,"Aloo Puri – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
30,Chana Puri,Indian Breakfast,1 plate (200 g),264,10.1,36.6,5.6,3.3,2.7,287,Vegetarian,General Fitness,None,"Chana Puri – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
